ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
MAGN,3,500,0.468,0.9300407372185135,0.4246732802775799,0.511814695308398,-0.027553724996688293,-0.04490866634488181,0.8082413173478122,0.024,0.004561377524395552,0.999610116343281,momentum5
MAGN,5,500,0.462,0.9594838251953932,0.41875551183784954,0.5058239591704992,-0.04175471735264932,-0.018377150638666476,0.6786804444883332,0.004,0.004819151301999005,0.999610116343281,momentum5
NLMK,1,500,0.528,0.11360664595976239,0.4841949689615891,0.5713780524006803,-0.00311054295092676,0.05418544859789503,0.6198850155484306,0.024,0.004576656221935294,0.999610116343281,momentum5
NLMK,2,500,0.482,0.8022446142825708,0.43850579699662956,0.5257686892704829,-0.00042168190480008563,-0.02110340215220172,0.7565663630301909,0.024,0.004303595239361462,0.999610116343281,momentum5
NLMK,3,500,0.48,0.826167910343493,0.43652763662029404,0.523777348120942,-0.028712392618086578,-0.03707131876008104,0.6431705808544785,0.024,0.004598281215310889,0.999610116343281,momentum5
NLMK,5,500,0.464,0.9510549859861879,0.4207274028995594,0.5078215696346657,-0.05871825796774098,-0.0594689890898976,0.7380083981094097,0.004,0.004695226989003816,0.999610116343281,momentum5
MOEX,1,500,0.52,0.1977553857174292,0.47622265187905793,0.563472363379706,0.004406998172261415,0.05303793385298285,0.7292647874107632,0.024,0.0035435412014583126,0.999610116343281,momentum5
MOEX,2,500,0.5,0.5178323227766748,0.45634046916507415,0.5436595308349258,-0.060341541552646566,-0.05498563639406461,0.6888048754477196,0.024,0.0037318998241999326,0.999610116343281,momentum5
MOEX,3,500,0.496,0.5884545458772403,0.4523723541138067,0.5396886428344405,0.022243842218812804,-0.01037574147510639,0.7925545628632612,0.024,0.0038326959923935303,0.999610116343281,momentum5
MOEX,5,500,0.51,0.3436816540401902,0.4662728891685752,0.5535746184608068,-0.044182249028977404,0.011661108557748164,0.6224504714706393,0.004,0.003815696745483024,0.999610116343281,momentum5
VTBR,1,500,0.484,0.7764352492375939,0.4404846519415505,0.5277593358514384,-0.04162558038484221,-0.01700617969847451,0.6498890652133804,0.03,0.004262818231474174,0.999610116343281,momentum5
VTBR,2,500,0.468,0.9300407372185135,0.4246732802775799,0.511814695308398,-0.0373982771119012,-0.0787953810279548,0.7353538804905783,0.03,0.0041174891102611294,0.999610116343281,momentum5
VTBR,3,500,0.454,0.9822716809936584,0.4108749466266584,0.49782651827818475,-0.07796270730444875,-0.07347955665987595,0.7704174455568316,0.03,0.004261057055141095,0.999610116343281,momentum5
VTBR,5,500,0.466,0.941281892247928,0.4226999925744605,0.5098184814856409,-0.06403895311328764,-0.06916648118201693,0.7354481665430007,0.008,0.004164034856806083,0.999610116343281,momentum5
SBER,1,500,0.51,0.3436816540401902,0.4662728891685752,0.5535746184608068,0.014926619335960392,-0.0001798022866262515,0.046014232544531276,0.038,0.0022376509782651797,0.8682483891541647,ar1
SBER,2,500,0.488,0.7194853223785777,0.4444444444444444,0.5317385464002973,-0.0005176557698501258,-0.0174847045773696,0.001446683096569297,0.038,0.0021129786003250437,0.9894623486960792,ar1
SBER,3,500,0.506,0.4115454541227596,0.46229784108368,0.5496106634939493,-0.029493565523330222,0.03669519605117691,5.218265630013164e-05,0.038,0.0022995086072606437,0.9406753237091647,ar1
SBER,5,500,0.492,0.6563183459598099,0.44840701227596835,0.5357149816205261,0.009070345729002696,0.01795739644575745,5.037668447786018e-08,0.018,0.0021596194768851752,0.9894623486960792,ar1
GAZP,1,500,0.522,0.17383208965650696,0.4782146879120214,0.565449828872619,-0.11487742926462675,-0.046070076343708126,0.031497471049658055,0.038,0.0033341812089351464,0.7154072024396997,ar1
GAZP,2,500,0.528,0.11360664595976239,0.4841949689615891,0.5713780524006803,-0.032882964920119634,0.03451874444440551,0.0007207802045399676,0.038,0.00285134359226599,0.6816398757585743,ar1
GAZP,3,500,0.49,0.6885952840101188,0.4464253815391932,0.5337271108314249,0.013259517056604136,-0.042092466152457805,1.312259099787221e-05,0.038,0.0029887829131922615,0.9894623486960792,ar1
GAZP,5,500,0.48,0.826167910343493,0.43652763662029404,0.523777348120942,0.03854406208883522,0.012479548378819634,7.404160849250525e-09,0.018,0.0032097716598535344,0.9894623486960792,ar1
LKOH,1,500,0.518,0.22356475076240614,0.4742313107295171,0.5614942030033705,0.008616423548661248,0.05511029953704453,0.03722486305193487,0.038,0.002708582524881029,0.7154072024396997,ar1
